Norm 9.725691, Time 21
Norm 9.739358, Time 20
Norm 9.793949, Time 21
Norm 9.766644, Time 19
Norm 9.780215, Time 20
Norm 9.780169, Time 21
Norm 9.739406, Time 20
Norm 9.739539, Time 20
Norm 9.753091, Time 20
Norm 9.739054, Time 20
Norm 9.739196, Time 21
Norm 9.780215, Time 29
Norm 9.766976, Time 22
Norm 9.725739, Time 26
Norm 9.779912, Time 32
Norm 9.780215, Time 20
Norm 9.739329, Time 20
Norm 9.725548, Time 20
Norm 9.739329, Time 21
Norm 9.766435, Time 20
Norm 9.739472, Time 20
Norm 9.766597, Time 20
Norm 9.76671, Time 21
Norm 9.779912, Time 19
Norm 9.725481, Time 21
Norm 9.712119, Time 19
Norm 9.712119, Time 20
Norm 9.807406, Time 21
Norm 9.8070755, Time 20
Norm 9.78051, Time 20
Norm 9.739472, Time 20
Norm 9.752787, Time 20
Norm 9.807748, Time 20
Norm 9.834986, Time 20
Norm 9.807832, Time 20
Norm 9.7807, Time 21
Norm 9.76709, Time 20
Norm 9.753205, Time 20
Norm 9.807199, Time 20
Norm 9.77996, Time 20
Norm 9.739054, Time 20
Norm 9.766644, Time 20
Norm 9.807501, Time 20
Norm 9.807454, Time 22
Norm 9.807568, Time 19
Norm 9.807633, Time 20
Norm 9.779883, Time 20
Norm 9.752863, Time 20
Norm 9.739406, Time 20
Norm 9.76709, Time 20
Norm 9.739786, Time 20
Norm 9.766549, Time 20
Norm 9.766407, Time 20
Norm 9.766283, Time 30
Norm 9.807265, Time 11
Norm 9.807748, Time 20
Norm 9.8213, Time 20
Norm 9.807492, Time 20
Norm 9.793949, Time 20
Norm 9.766492, Time 20
Norm 9.793721, Time 20
Norm 9.807454, Time 20
Norm 9.807454, Time 20
Norm 9.766568, Time 21
Norm 9.766407, Time 20
Norm 9.60305, Time 20
Norm 9.698501, Time 20
Norm 9.752977, Time 21
Norm 9.671071, Time 19
Norm 9.753024, Time 20
Norm 9.712301, Time 20
Norm 9.808097, Time 20
Norm 9.83507, Time 26
Norm 9.794213, Time 21
Norm 9.793835, Time 20
Norm 9.77996, Time 20
Norm 9.83474, Time 20
Norm 9.793721, Time 20
Norm 9.698682, Time 20
Norm 9.698338, Time 20
Norm 9.739196, Time 20
Norm 9.76634, Time 21
Norm 9.752872, Time 23
Norm 9.766634, Time 17
Norm 9.766435, Time 20
Norm 9.7803955, Time 21
Norm 9.807454, Time 23
Norm 9.766597, Time 20
Norm 9.753357, Time 23
Norm 9.698644, Time 29
Norm 9.739472, Time 20
Norm 9.766482, Time 25
Norm 9.725691, Time 20
Norm 9.712005, Time 20
Norm 9.6987295, Time 20
Norm 9.766644, Time 20
Norm 9.7936735, Time 25
Norm 9.807293, Time 20
Norm 9.807492, Time 20
Norm 9.780102, Time 30
Norm 9.834645, Time 32
Norm 9.752672, Time 17
Norm 9.780102, Time 20
Norm 9.807633, Time 20
Norm 9.76671, Time 20
Norm 9.793882, Time 20
Norm 9.780263, Time 20
Norm 9.712005, Time 20
Norm 9.766568, Time 20
Norm 9.80805, Time 21
Norm 9.835287, Time 20
Norm 9.865495, Time 20
Norm 9.796524, Time 20
Norm 9.740072, Time 21
Norm 9.752473, Time 19
Norm 9.770319, Time 21
Norm 9.932493, Time 20
Norm 9.793276, Time 20
Norm 9.758415, Time 20
Norm 9.756486, Time 20
Norm 9.675712, Time 20
Norm 9.79429, Time 20
Norm 10.174554, Time 20
Norm 10.637413, Time 20
Norm 10.593172, Time 20
Norm 11.077062, Time 21
Norm 10.981422, Time 20
Norm 11.147346, Time 20
Norm 11.136964, Time 20
Norm 10.301, Time 20
Norm 9.745329, Time 20
Norm 8.960502, Time 20
Norm 9.319454, Time 20
Norm 10.38854, Time 20
Norm 10.923324, Time 20
Norm 10.909456, Time 21
Norm 10.677667, Time 20
Norm 10.593461, Time 21
Norm 10.404243, Time 20
Norm 10.649597, Time 20
Norm 11.239792, Time 20
Norm 10.6331835, Time 20
Norm 9.913152, Time 20
Norm 8.205126, Time 20
Norm 7.580137, Time 20
Norm 8.473498, Time 20
Norm 9.244444, Time 20
Norm 9.439412, Time 21
Norm 8.896965, Time 20
Norm 7.436622, Time 20
Norm 8.1689625, Time 20
Norm 8.6896, Time 21
Norm 8.632991, Time 19
Norm 9.619891, Time 22
Norm 9.808372, Time 19
Norm 9.050196, Time 20
Norm 8.412591, Time 20
Norm 8.461964, Time 20
Norm 9.969695, Time 32
Norm 10.312663, Time 19
Norm 9.619341, Time 21
Norm 9.579724, Time 19
Norm 8.449689, Time 20
Norm 8.959435, Time 21
Norm 9.371225, Time 22
Norm 9.611865, Time 20
Norm 9.814384, Time 21
Norm 9.926926, Time 20
Norm 9.152641, Time 21
Norm 8.006587, Time 20
Norm 7.8053985, Time 19
Norm 8.290956, Time 21
Norm 8.003818, Time 20
Norm 8.403898, Time 20
Norm 9.091069, Time 20
Norm 10.345987, Time 20
Norm 11.79431, Time 20
Norm 13.454994, Time 24
Norm 14.136562, Time 17
Norm 13.95867, Time 20
Norm 13.203464, Time 19
Norm 12.585504, Time 21
Norm 12.296595, Time 20
Norm 12.250267, Time 20
Norm 11.613294, Time 20
Norm 10.786782, Time 20
Norm 10.133566, Time 21
Norm 9.717657, Time 20
Norm 9.704151, Time 20
Norm 9.620054, Time 20
Norm 9.173211, Time 20
Norm 9.080534, Time 20
Norm 9.077213, Time 20
Norm 9.012977, Time 20
Norm 8.916419, Time 20
Norm 8.577402, Time 20
Norm 8.418852, Time 21
Norm 8.275647, Time 20
Norm 8.170222, Time 20
Norm 8.312184, Time 20
Norm 8.520059, Time 21
Norm 8.841568, Time 19
Norm 9.278337, Time 20
Norm 9.240339, Time 20
Norm 8.620184, Time 20
Norm 7.953945, Time 21
Norm 7.446632, Time 20
Norm 7.6193886, Time 20
Norm 8.340325, Time 21
Norm 9.802999, Time 20
Norm 12.591236, Time 19
Norm 15.311264, Time 20
Norm 15.52897, Time 20
Norm 14.214691, Time 21
Norm 12.862628, Time 20
Norm 12.457504, Time 20
Norm 12.511148, Time 20
Norm 12.642809, Time 20
Norm 12.1089325, Time 23
Norm 11.4003935, Time 17
Norm 10.698936, Time 20
Norm 10.404992, Time 22
Norm 10.922304, Time 20
Norm 10.38403, Time 20
Norm 9.5545845, Time 21
Norm 8.887514, Time 20
Norm 9.267133, Time 21
Norm 9.626396, Time 20
Norm 8.883986, Time 20
Norm 8.129305, Time 21
Norm 7.87282, Time 20
Norm 7.896325, Time 20
Norm 7.695267, Time 21
Norm 7.4969964, Time 19
Norm 7.5566792, Time 21
Norm 7.7323523, Time 20
Norm 7.845166, Time 20
Norm 7.822848, Time 20
Norm 7.815884, Time 21
Norm 8.534188, Time 20
Norm 8.89054, Time 21
Norm 9.551875, Time 19
Norm 11.31264, Time 20
Norm 12.541419, Time 21
Norm 13.4581785, Time 20
Norm 14.044441, Time 20
Norm 14.056219, Time 20
Norm 13.295483, Time 21
Norm 12.026127, Time 20
Norm 11.051425, Time 20
Norm 10.873832, Time 21
Norm 11.106131, Time 20
Norm 11.199049, Time 20
Norm 10.912933, Time 32
Norm 10.747663, Time 28
Norm 10.938284, Time 8
Norm 11.294751, Time 18
Norm 11.149226, Time 18
Norm 10.631464, Time 20
Norm 10.173934, Time 21
Norm 9.44618, Time 20
Norm 8.939203, Time 20
Norm 8.878221, Time 20
Norm 8.727455, Time 20
Norm 8.242618, Time 20
Norm 8.069605, Time 20
Norm 7.911652, Time 20
Norm 7.810684, Time 20
Norm 8.127251, Time 20
Norm 8.227659, Time 20
Norm 8.04249, Time 22
Norm 7.7907796, Time 20
Norm 7.7719927, Time 21
Norm 8.174184, Time 20
Norm 8.775542, Time 20
Norm 9.416173, Time 20
Norm 10.846878, Time 20
Norm 13.451346, Time 20
Norm 14.860404, Time 20
Norm 14.484374, Time 21
Norm 13.367113, Time 20
Norm 12.196692, Time 20
Norm 11.359705, Time 20
Norm 10.861815, Time 20
Norm 10.869098, Time 21
Norm 10.884916, Time 20
Norm 10.94604, Time 20
Norm 10.983305, Time 20
Norm 11.09266, Time 21
Norm 11.326955, Time 20
Norm 11.683393, Time 20
Norm 11.529743, Time 20
Norm 10.7665205, Time 20
Norm 9.914959, Time 21
Norm 9.719519, Time 20
Norm 9.420161, Time 20
Norm 9.1704, Time 20
Norm 8.497667, Time 21
Norm 8.008591, Time 21
Norm 7.51953, Time 19
Norm 7.42149, Time 20
Norm 7.6074247, Time 21
Norm 8.124535, Time 20
Norm 8.462435, Time 20
Norm 8.4203825, Time 20
Norm 8.305387, Time 21
Norm 8.335964, Time 20
Norm 8.568119, Time 20
Norm 9.279507, Time 20
Norm 9.716216, Time 20
Norm 10.51714, Time 20
Norm 11.499768, Time 21
Norm 11.541667, Time 20
Norm 11.463584, Time 31
Norm 11.631115, Time 10
Norm 11.524988, Time 20
Norm 11.269568, Time 20
Norm 10.918941, Time 20
Norm 10.510576, Time 20
Norm 10.449018, Time 21
Norm 10.395654, Time 20
Norm 10.424764, Time 20
Norm 10.728279, Time 20
Norm 11.075076, Time 21
Norm 11.192288, Time 20
Norm 10.970663, Time 20
Norm 10.563184, Time 20
Norm 10.263472, Time 21
Norm 10.190214, Time 20
Norm 10.052721, Time 21
Norm 9.533991, Time 19
Norm 8.895943, Time 20
Norm 8.709081, Time 21
Norm 8.719151, Time 20
Norm 8.613802, Time 20
Norm 7.8892503, Time 20
Norm 7.1591477, Time 21
Norm 6.757793, Time 20
Norm 6.993926, Time 20
Norm 7.748781, Time 20
Norm 8.196089, Time 21
Norm 7.9852414, Time 20
Norm 8.829369, Time 20
Norm 9.7479925, Time 20
Norm 10.223884, Time 21
Norm 10.288096, Time 20
Norm 10.522484, Time 21
Norm 10.516443, Time 19
Norm 11.077204, Time 20
Norm 11.568375, Time 20
Norm 11.863362, Time 20
Norm 12.064684, Time 21
Norm 12.169512, Time 21
Norm 11.878115, Time 18
Norm 11.37104, Time 21
Norm 10.989992, Time 20
Norm 10.70263, Time 20
Norm 10.663314, Time 20
Norm 10.618352, Time 20
Norm 10.089442, Time 20
Norm 9.779703, Time 20
Norm 9.789914, Time 20
Norm 9.550088, Time 20
Norm 9.215914, Time 21
Norm 8.989852, Time 19
Norm 8.824115, Time 21
Norm 8.663076, Time 20
Norm 8.484307, Time 20
Norm 8.1628275, Time 20
Norm 7.901187, Time 20
Norm 7.714205, Time 20
Norm 7.7350388, Time 20
Norm 7.7611365, Time 21
Norm 8.114219, Time 20
Norm 8.732757, Time 20
Norm 9.0983515, Time 21
Norm 9.3377, Time 20
Norm 9.688406, Time 21
Norm 10.097529, Time 20
Norm 10.550584, Time 21
Norm 11.165455, Time 20
Norm 11.792696, Time 20
Norm 12.206513, Time 20
Norm 12.174801, Time 20
Norm 11.712145, Time 21
Norm 11.254487, Time 20
Norm 10.907211, Time 20
Norm 10.888043, Time 20
Norm 10.70633, Time 20
Norm 10.398857, Time 21
Norm 9.994495, Time 20
Norm 9.455102, Time 20
Norm 8.989543, Time 20
Norm 8.55889, Time 20
Norm 8.259121, Time 21
Norm 7.906691, Time 20
Norm 7.6742654, Time 29
Norm 7.695364, Time 21
Norm 7.8336306, Time 13
Norm 8.099585, Time 22
Norm 8.365533, Time 22
Norm 8.456931, Time 17
Norm 8.781196, Time 19
Norm 9.315701, Time 21
Norm 9.720473, Time 20
Norm 10.114059, Time 20
Norm 10.792791, Time 20
Norm 11.5831995, Time 20
Norm 12.195757, Time 20
Norm 12.51415, Time 21
Norm 12.495532, Time 20
Norm 12.227803, Time 20
Norm 11.73942, Time 21
Norm 11.1868925, Time 21
Norm 10.60007, Time 20
Norm 10.06081, Time 20
Norm 9.693411, Time 21
Norm 9.418932, Time 18
Norm 9.136198, Time 20
Norm 8.976223, Time 20
Norm 9.048597, Time 20
Norm 8.926733, Time 20
Norm 8.496335, Time 21
Norm 8.205205, Time 21
Norm 8.10897, Time 20
Norm 7.87262, Time 21
Norm 7.709333, Time 20
Norm 7.7016053, Time 20
Norm 7.798098, Time 20
Norm 7.752192, Time 20
Norm 8.686515, Time 20
Norm 9.408605, Time 21
Norm 10.107216, Time 20
Norm 11.131591, Time 20
Norm 11.837077, Time 20
Norm 12.335329, Time 21
Norm 12.599183, Time 19
Norm 12.161071, Time 21
Norm 11.286478, Time 20
Norm 10.659487, Time 22
Norm 10.35486, Time 21
Norm 10.201022, Time 19
Norm 9.765865, Time 19
Norm 9.050247, Time 25
Norm 8.806468, Time 17
Norm 8.839647, Time 20
Norm 9.053486, Time 21
Norm 8.825522, Time 20
Norm 8.586752, Time 20
Norm 8.525305, Time 20
Norm 8.760763, Time 20
Norm 8.890676, Time 21
Norm 8.808712, Time 20
Norm 8.641239, Time 20
Norm 8.68361, Time 20
Norm 8.78581, Time 21
Norm 8.985023, Time 20
Norm 9.325214, Time 20
Norm 9.939308, Time 21
Norm 10.7368, Time 20
Norm 11.429509, Time 20
Norm 12.029667, Time 20
Norm 12.307158, Time 21
Norm 12.300388, Time 20
Norm 12.054908, Time 20
Norm 11.764149, Time 20
Norm 11.199985, Time 22
Norm 10.156114, Time 19
Norm 9.156693, Time 20
Norm 8.677231, Time 21
Norm 8.742311, Time 19
Norm 8.936837, Time 20
Norm 8.725627, Time 21
Norm 8.26957, Time 20
Norm 7.919972, Time 20
Norm 7.937824, Time 21
Norm 8.071685, Time 21
Norm 8.375406, Time 20
Norm 8.623057, Time 20
Norm 8.455878, Time 21
Norm 8.145765, Time 27
Norm 8.063131, Time 15
Norm 8.899967, Time 23
Norm 10.095618, Time 18
Norm 10.820464, Time 21
Norm 11.088678, Time 20
Norm 11.750611, Time 20
Norm 12.12325, Time 20
Norm 12.012946, Time 21
Norm 11.408251, Time 20
Norm 10.640046, Time 20
Norm 10.243199, Time 20
Norm 10.080309, Time 21
Norm 9.785383, Time 20
Norm 9.243752, Time 20
Norm 8.9335985, Time 20
Norm 8.996247, Time 21
Norm 9.08511, Time 20
Norm 8.8663025, Time 20
Norm 8.436418, Time 20
Norm 8.431579, Time 20
Norm 8.760182, Time 21
Norm 8.958286, Time 20
Norm 9.139538, Time 20
Norm 9.319792, Time 21
Norm 9.7772, Time 20
Norm 10.294397, Time 20
Norm 10.558317, Time 20
Norm 10.433454, Time 20
Norm 10.228455, Time 20
Norm 10.01367, Time 20
Norm 9.990364, Time 21
Norm 10.033501, Time 20
Norm 10.042011, Time 20
